Feature,SHAP Value
ORGANIZATION_TYPE_Transport: type 1,0.0
ORGANIZATION_TYPE_Transport: type 2,-0.00036535035818815233
ORGANIZATION_TYPE_Transport: type 3,0.0
ORGANIZATION_TYPE_Transport: type 4,-1.6193001065403224e-05
ORGANIZATION_TYPE_University,0.0007486658170819283
ORGANIZATION_TYPE_XNA,0.0068984436732716856
FONDKAPREMONT_MODE_not specified,0.0
FONDKAPREMONT_MODE_org spec account,0.000459500290453434
FONDKAPREMONT_MODE_reg oper account,0.012277663764543832
FONDKAPREMONT_MODE_reg oper spec account,0.00011624349281191826
HOUSETYPE_MODE_block of flats,0.0009653417905792594
HOUSETYPE_MODE_specific housing,0.0
HOUSETYPE_MODE_terraced house,0.0
WALLSMATERIAL_MODE_Block,-0.0001992799248546362
WALLSMATERIAL_MODE_Mixed,-0.0009830797463655473
WALLSMATERIAL_MODE_Monolithic,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Panel,0.00043899812269955875
"WALLSMATERIAL_MODE_Stone, brick",0.008277237648144364
WALLSMATERIAL_MODE_Wooden,-0.0003537251055240631
EMERGENCYSTATE_MODE_No,-0.003561630262993276
EMERGENCYSTATE_MODE_Yes,0.0
DAYS_EMPLOYED_ANOM,-0.0056321171624585985
